residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/telluride/,"Four Seasons Private Residences Telluride  
680 Mountain Village Blvd, Mountain Village, United States",22000000,4500,4000000,40000000,4888,28,2027,under construction,high,yes,yes,95,Mountain Village,United States,"Ski-in/ski-out access, fitness center, private terraces, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Ski valet, kids’ programs, hiking trails, outdoor hot tubs, comfort stations",Ski-in/ski-out access to Telluride Ski Resort,Heated outdoor pool with mountain views,Olson Kundig-designed modernist retreat,10,Four Seasons,"Indulge in breathtaking mountain views and luxurious ski-in, ski-out living.","These luxurious residences boast breathtaking mountain vistas, direct ski access, and unparalleled amenities, creating an extraordinary alpine living experience."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/toronto/,"Toronto, Canada is 50 Yorkville Ave, Toronto, ON M4W 1L4.",3000000,1900,1500000,7000000,1580,210,2012,completed,high,yes,yes,94,Toronto,Canada,"Fitness center, spa facilities, private terraces, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, valet parking, yoga studio, personal training, doorman service",20-meter indoor pool,Café Boulud dining,Four Seasons Spa,10,Four Seasons,"Elevate your lifestyle with unmatched luxury, panoramic city views, and bespoke services.","Offering breathtaking panoramic views of the city skyline and Lake Ontario, this residence features luxurious amenities and unparalleled service."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/vail/,"Four Seasons Private Residences Vail  
1 Vail Road  
Vail, CO 81657  
United States",5000000,1600,3000000,10000000,3775,24,2010,completed,high,no,yes,93,Vail,United States,"Ski-in/ski-out access, fitness center, private terraces, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Ski valet, kids’ programs, hiking trails, outdoor hot tubs, valet parking",Ski-in/ski-out access to Vail Mountain\,Year-round heated outdoor pool,Flame Restaurant dining,10,Four Seasons,"Enjoy ski-in, ski-out luxury with breathtaking mountain views from your private haven.","Offering breathtaking views of the Gore Range and direct access to world-class skiing, these residences redefine luxury living in Vail."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/whistler/,"Four Seasons Private Residences Whistler  
4591 Blackcomb Way,  
Whistler, BC V0N 1B4,  
Canada",4000000,1500,2000000,7000000,2670,37,2004,completed,high,yes,yes,94,Whistler,Canada,"Ski-in/ski-out access, fitness center, private hot tubs, owners’ lodge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Ski valet, kids’ programs, hiking trails, outdoor pursuits, comfort stations",Ski-in/ski-out access to Whistler Blackcomb,Heated outdoor pool and hot tubs,Sidecut Steakhouse dining,10,Four Seasons,"Indulge in breathtaking mountain views from your luxurious, ski-in-ski-out sanctuary.","Offering breathtaking panoramic mountain views, these luxurious residences feature ski-in/ski-out access and bespoke amenities for an unparalleled alpine lifestyle."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/cartagena/,"Carrera 1 # 12 - 118, Cartagena, Colombia",1500000,1000,800000,3000000,1500,16,2025,under construction,high,yes,yes,90,Cartagena,Colombia,"Fitness center, spa facilities, private terraces, historical restoration","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, rooftop terrace, marina access, kids’ programs, comfort stations",Rooftop pool with Cartagena Bay views,16th-century San Francisco Cloister restoration,Eight dining venues including Neapolitan pizzeria,10,Four Seasons,"A historic sanctuary blending colonial charm with modern luxury, overlooking Cartagena's shimmering bay.","Overlooking the Caribbean Sea, these luxurious residences boast expansive terraces, private pools, and unparalleled access to Cartagena's vibrant culture."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/belize/,"Four Seasons Private Residences Caye Chapel, Belize.",6500000,1350,3000000,10000000,4807,24,2025,under construction,high,yes,yes,92,Caye Chapel,Belize,"Golf course, private beach, fitness center, private pools","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Marina access, kids’ club, water sports, outdoor pursuits, comfort stations",Greg Norman-designed White Shark Golf Course,Six miles of private beachfront,Fabien Cousteau Nature Center,12,Four Seasons,Indulge in unparalleled luxury with breathtaking ocean views and private island exclusivity.,"Offering breathtaking ocean views and private access to pristine beaches, these residences redefine luxury living in Belize."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/costarica/,"Four Seasons Private Residences Costa Rica  
Papagayo Peninsula, Guanacaste, Costa Rica",,,,,3500,20,2019,completed,high,yes,yes,85,Guanacaste,Costa Rica,"Golf course, fitness center, private pools, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Tennis courts, kids’ club, beach access, water sports, comfort stations",Arnold Palmer-designed golf course,Private infinity pools with ocean views,Four resort pools,12,Four Seasons,Discover unparalleled luxury living with breathtaking ocean views and lush tropical landscapes.,"This luxurious residence boasts breathtaking ocean views, private beach access, and unparalleled amenities, ensuring an extraordinary lifestyle experience."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/istanbul/,"Four Seasons Private Residences Istanbul  
Ulus, Türkali Cd. 4A, Istanbul, Turkey",2500000,1200,1500000,5000000,2080,82,2024,under construction,high,yes,yes,93,Istanbul,Turkey,"Fitness center, private terraces, spa facilities, residents’ garden","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, valet parking, yoga studio, personal training, doorman service",Rooftop pool with skyline views,Private garden suites,7-meter-high penthouse ceilings,11,Four Seasons,Immerse yourself in unmatched luxury with panoramic Bosphorus views and timeless elegance.,"Overlooking the Bosphorus, these residences offer unparalleled luxury with private terraces, bespoke interiors, and access to a world-class spa."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/london_20_grosvenor_square/,"20 Grosvenor Square, London, United Kingdom",23000000,3300,22000000,39000000,4680,37,2019,completed,high,yes,yes,94,London,UK,"Private wine cellar, spa facilities, private cinema, residents’ garden","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, valet parking, treatment suite with steam room, games room, business suite",25-meter heated swimming pool,Finchatton-designed classical drawing rooms,Private cinema and wine cellar,11,Four Seasons,Elevate your lifestyle with unparalleled panoramic views of London's iconic skyline.,"Overlooking the Thames, these residences boast unparalleled skyline views, bespoke interiors, and access to world-class amenities and services."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/madrid/,"Calle de Sevilla 2, Madrid, Spain",4000000,1800,2500000,7000000,2220,22,2020,completed,high,yes,yes,95,Madrid,Spain,"Private terraces, fitness center, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, rooftop terrace, wellness suite, valet parking, doorman service",Rooftop pool with city views,Canalejas 360 dining experience,Historical 19th-century restoration,10,Four Seasons,Indulge in luxurious living with breathtaking views of Madrid's vibrant skyline.,"Offering breathtaking views of the Royal Palace and exclusive access to a rooftop terrace, this residence redefines luxury living."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/abudhabi/,"Abu Dhabi, Al Maryah Island, Abu Dhabi, UAE.",1250000,700,625000,2200000,"2,08",82,2024,under construction,high,yes,yes,93,Abu Dhabi,UAE,"Fitness center, private terraces, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, rooftop pool terrace, kids’ club, valet parking, doorman service",Rooftop pool with Arabian Gulf views,34th-floor residents’ lounge,Signature dining by Michelin-starred chefs,10,Four Seasons,Elevate your lifestyle with panoramic waterfront views and unrivaled bespoke luxury.,"Overlooking the Arabian Gulf, these luxury residences boast expansive terraces, unparalleled sunset views, and access to world-class amenities."
"Four Seasons Private Residences, Bahrain Bay",https://www.fourseasons.com/residences/private_residences/bahrain-bay/,"Bahrain Bay, Manama, Bahrain",1500000,750,750000,3500000,2000,112,2024,completed,high,yes,yes,94,Manama,Bahrain,"Private infinity pools, fitness center, private bridge to hotel, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, rooftop living area, valet parking",Resident-only open-air pool,Private bridge to Four Seasons Hotel amenities,Panoramic Bahrain Bay views,10,Four Seasons,Elevate your lifestyle with panoramic sea views and unparalleled luxury amenities.,"Offering breathtaking panoramic views of the Arabian Gulf, this residence features unparalleled amenities and direct access to a vibrant waterfront lifestyle."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/dubaidifc/,"Four Seasons Private Residences Dubai, UAE  
Gate Avenue, DIFC",6000000,1400,3000000,15000000,4068,52,2026,under construction,high,yes,yes,94,Dubai,UAE,"Fitness center, private terraces, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, valet parking, rooftop pool terrace, business suite, doorman service",Rooftop pool with Burj Khalifa views,Sir David Chipperfield-designed architecture,Access to Four Seasons Hotel DIFC and Jumeirah Beach amenities,10,Four Seasons,Immerse yourself in unparalleled luxury with breathtaking skyline views and bespoke amenities.,"Offering breathtaking views of the iconic skyline and the Arabian Gulf, this residence features unparalleled luxury amenities and personalized services."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/dubai-at-jumeirah/,"Four Seasons Private Residences Dubai, UAE  
Jumeirah Beach Road, Jumeirah 2, Dubai, UAE",5500000,1800,3000000,10000000,3056,28,2024,under construction,high,yes,yes,92,Dubai,UAE,"Private infinity pools, fitness center, private cinema, kids’ play area","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, spa facilities, multi-functional room, valet parking, canal promenade access",Lap pool with Dubai Water Canal views,Sybille de Margerie-designed interiors,Access to Four Seasons Resort Jumeirah Beach amenities,11,Four Seasons,"Commanding breathtaking skyline and sea views, these ultra-luxury residences redefine elegance.","Overlooking the iconic skyline, these residences feature private terraces, unparalleled amenities, and access to a world-class lifestyle."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/jeddah-at-the-corniche/,"Four Seasons Private Residences Jeddah  
Corniche Road, Jeddah 21577, Saudi Arabia",2500000,775,1000000,5000000,3230,64,2024,completed,high,yes,yes,95,Jeddah,Saudi Arabia,"Private terraces, fitness center, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, kids’ club, wellness suite, valet parking",Infinity pool with Red Sea views,Private beach access,Dedicated wellness suite,11,Four Seasons,Elevate your lifestyle with breathtaking Red Sea views and unparalleled luxury living.,"Overlooking the Red Sea, these residences boast breathtaking panoramic views, luxurious amenities, and unparalleled access to vibrant coastal living."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/madinaty/,"Madinaty Developmen, New Cairo, Egypt",1800000,600,800000,4500000,3000,187,2025,under construction,medium,yes,yes,90,New Cairo,Egypt,"Private pools, fitness center, private terraces, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Tennis courts, kids’ club, multi-sport courts, event lawn, comfort stations",Private pool per villa,Pierre-Yves Rochon-designed interiors,Waterfront dining experience,12,Four Seasons,Indulge in luxurious living with breathtaking skyline views and exquisite design elegance.,"Offering breathtaking panoramic views of the Pyramids and lush landscapes, this residence boasts unparalleled luxury and exclusive amenities."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/marrakech/,"Four Seasons Private Residences Marrakech  
Route de Fès, Marrakech 40000, Morocco",2100000,700,1200000,4000000,3000,43,2011,completed,high,yes,yes,93,Marrakech,Morocco,"Fitness center, spa facilities, private terraces, Moorish gardens","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, tennis courts, hammam spa, guided Medina tours, comfort stations",Three resort pools with Atlas Mountain views,Traditional Moroccan hammam spa,Azul dining with Moroccan cuisine,11,Four Seasons,"Amid lush gardens and serene pools, discover timeless elegance with Moroccan soul.",These luxurious residences offer breathtaking views of the Atlas Mountains and exclusive access to a private wellness sanctuary.
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/marrakech_at_m_avenue/,"Four Seasons Private Residences Marrakech, Morocco: 1, Boulevard de la Menara, Marrakech 40000, Morocco.",1500000,650,295000,3500000,2300,96,2022,completed,high,yes,yes,94,Marrakech,Morocco,"Private rooftop terraces, fitness center, private cinema, business center","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, spa facilities, party room, valet parking",Two rooftop pools with Atlas Mountain views,Rebosio+Spagnulo-designed interiors,Access to Four Seasons Resort Marrakech amenities,10,Four Seasons,Indulge in luxurious oasis living with breathtaking Atlas Mountain views and lush gardens.,"Offering breathtaking views of the Atlas Mountains, these luxurious residences feature private gardens and exclusive access to a world-class spa."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/mauritius/,"Mauritius  
Anahita Resort, Grande Rivière Sud Est",2800000,800,1500000,5000000,3500,51,2008,completed,high,yes,yes,92,Beau Champ,Mauritius,"Golf courses, fitness center, private pools, beach club","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Tennis courts, kids’ club, marina access, water sports, comfort stations",Ernie Els and Bernhard Langer Signature golf courses,Private beach on Ile aux Cerfs,Overwater spa with tropical treatments,12,Four Seasons,Bask in unparalleled luxury with stunning ocean views and private beach access.,"Overlooking the pristine beaches and lush landscapes, these luxurious residences feature private infinity pools and direct ocean access, ensuring unparalleled tranquility."
"Four Seasons Private Residences, The Pearl",https://www.fourseasons.com/residences/private_residences/the-pearl-qatar/,"Porto Arabia Drive, Doha ,Qatar",3500000,1000,2000000,7000000,3500,84,2023,completed,high,yes,yes,94,Doha,Qatar,"Fitness center, private terraces, spa facilities, private cabanas","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, indoor pool, valet parking",Two seaside pools with private cabanas,Joël Robuchon-inspired dining,Loulou Spa with pearl-inspired treatments,11,Four Seasons,"Elevating waterfront living, this masterpiece blends opulent design with panoramic marina views.","Offering breathtaking panoramic views of the Arabian Gulf, this residence features luxurious amenities and private beach access, ensuring an unparalleled lifestyle."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/seychelles/,"Petite Anse, Baie Lazare, Mahé, Seychelles",4500000,900,3000000,7500000,5000,27,2009,completed,high,yes,yes,93,Mahé,Seychelles,"Private infinity pools, fitness center, private cinema, residents’ garden","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, spa facilities, water sports, comfort stations",Private infinity pool per residence,Petite Anse Bay oceanfront views,Creole-inspired spa treatments,11,Four Seasons,Embrace unparalleled luxury with breathtaking ocean vistas and seamless indoor-outdoor living.,"Overlooking pristine beaches and turquoise waters, these exclusive residences feature private infinity pools and unparalleled sunset views."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/seychellesdesroches/,"Desroches Island, Seychelles",5000000,1000,3500000,8000000,5000,30,2018,completed,high,yes,yes,92,Desroches Island,Seychelles,"Private pools, fitness center, full kitchens, beachfront terraces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, water sports, spa facilities, diving center, comfort stations",Private pool with beachfront access,9 miles of white-sand beaches,Claudine restaurant with themed buffets,11,Four Seasons,Bask in unparalleled luxury with pristine beaches and breathtaking ocean views at your doorstep.,"Offering breathtaking ocean views and unparalleled privacy, these luxurious residences feature direct beach access and lush tropical gardens."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/sharmelsheikh/,"1 Four Seasons Boulevard, El-Salam, Egypt",2500000,800,1500000,5000000,3125,52,2002,completed,high,yes,yes,93,Sharm El Sheikh,Egypt,"Private pools, fitness center, beach club, dive center","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Tennis courts, kids’ club, water sports, spa facilities, comfort stations",Red Sea beachfront with private pools,World-class diving center,12 dining venues including Zitouni,11,Four Seasons,Wake up to panoramic Red Sea views from your ultra-luxurious coastal sanctuary.,"Offering breathtaking views of the Red Sea, this residence features private beach access and unparalleled luxury amenities."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/bangkok/,"Four Seasons Private Residences Bangkok, 300/1 Charoenkrung Road, Yannawa, Sathon, Bangkok 10120, Thailand.",3500000,1100,1000000,6600000,3200,355,2018,completed,high,yes,yes,95,Bangkok,Thailand,"Private infinity pools, fitness center, private terraces, residents’ club","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, rooftop pool terrace, kids’ club, spa facilities, valet parking",64th-floor infinity pool with Chao Phraya views,Residents’ Club with wine cellar,"BKK Social Club, Asia’s top-ranked bar",10,Four Seasons,Elevate your lifestyle with panoramic river views and unrivaled urban sophistication.,"Offering breathtaking riverfront views and personalized services, this luxury residence redefines urban living in Bangkok's vibrant heart."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/beijing/,"Four Seasons Private Residences Beijing  
No. 48, Liangmaqiao Road,  
Chaoyang District,  
Beijing, China",4000000,1200,2500000,7000000,3300,83,2012,completed,high,yes,yes,94,Beijing,China,"Private terraces, fitness center, natatorium, residents’ clubhouse","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, steam room, kids’ play area, valet parking",Private natatorium with indoor pool,Liangma River proximity,Access to Four Seasons Hotel dining,10,Four Seasons,Immerse yourself in unparalleled luxury with breathtaking skyline views and exquisite design.,"Offering breathtaking views of the Forbidden City, these residences boast unparalleled luxury with personalized services and exceptional amenities."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/bengaluru/,"8, Bellary Road, Ganganagar, Bengaluru, India",2500000,900,1000000,5500000,2800,109,2018,completed,high,yes,yes,95,Bengaluru,India,"Private terraces, fitness center, private study, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, rooftop terrace, personal training, valet parking",Rooftop pool with city skyline views,CUR8 restaurant with global cuisine,20th-floor VIP suite with private gym,10,Four Seasons,Immerse in ultra-luxury living with panoramic city views and world-class amenities.,"Offering breathtaking views of the city skyline and lush greenery, these residences feature bespoke interiors and exceptional amenities."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/hangzhou/,"Four Seasons Private Residences Hangzhou, 88 Wulin Road, Hangzhou, China.",5000000,1400,3000000,8000000,3600,92,2024,completed,high,yes,yes,94,Hangzhou,China,"Private indoor pool, fitness center, private cinema, Jiang Nan-style gardens","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, sauna, spa facilities, kids’ play area, comfort stations",Private indoor pool in Jiang Nan-style villa,West Lake and Grand Canal views,Dedicated Four Seasons concierge service,11,Four Seasons,Embrace serene luxury with panoramic West Lake views from your private sanctuary.,"Overlooking the serene West Lake, these residences boast unparalleled views, bespoke amenities, and direct access to lush nature trails."
